first_name,second_name,web_name,team,minutes,goals_scored,assists,clean_sheets,total_points,form,ict_index,influence,creativity,threat,now_cost,selected_by_percent
John,McGinn,McGinn,2,2217,1,4,8,78,0.0,103.7,277.2,500.6,263.0,52,0.7
Tyrone,Mings,Mings,2,1119,0,1,4,47,0.0,34.6,220.4,49.2,74.0,44,0.2
Kosta,Nedeljković,Nedeljkovic,2,121,0,0,0,5,0.0,3.0,22.8,7.2,0.0,39,0.5
Robin,Olsen,Olsen,2,225,0,0,1,9,0.0,5.9,59.2,0.0,0.0,45,0.1
Pau,Torres,Pau,2,2019,0,0,5,55,0.0,54.0,350.6,84.5,102.0,42,0.8
Jacob,Ramsey,Ramsey,2,1616,1,4,5,66,0.0,78.7,235.4,307.9,245.0,54,0.3
Morgan,Rogers,Rogers,2,3115,8,11,10,161,0.0,214.3,731.6,722.7,689.0,58,25.8
Viljami,Sinisalo,Sinisalo,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Lino,da Cruz Sousa,Sousa,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Youri,Tielemans,Tielemans,2,3025,3,7,7,121,0.0,209.6,799.6,963.1,333.0,55,1.1
Ollie,Watkins,Watkins,2,2593,16,8,10,186,0.0,223.8,766.0,345.2,1148.0,92,29.0
Axel,Disasi,Disasi,2,851,1,0,3,33,0.0,29.7,169.6,75.6,51.0,42,0.4
Amadou,Onana,Onana,2,1613,3,0,6,65,0.0,77.0,358.0,194.8,215.0,48,2.1
Marcus,Rashford,Rashford,2,1414,6,4,7,95,0.0,122.1,398.4,451.1,369.0,66,3.7
Lamare,Bogarde,Bogarde,2,473,0,0,0,6,0.0,13.3,84.8,33.3,15.0,39,0.2
Sil,Swinkels,Swinkels,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.1
Oliwier,Zych,Zych,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.5
Kadan,Young,Young,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44,0.2
Ben,Broggio,Broggio,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
